Epoch,Train_Loss,Val_Loss,Val_IoU,LR,Time
1,0.537746373977926,0.03014312032610178,4.6486279324554054e-10,0.001,83.1428906917572
2,0.2857383059130775,0.026569679689904053,4.6486279324554054e-10,0.001,83.10323023796082
3,0.23204756362570655,0.01867883155743281,0.009995472977642134,0.001,85.90478849411011
4,0.18928027484152052,0.017028250265866518,0.09012413117272683,0.001,87.15320897102356
5,0.15348919191294247,0.015537297197928032,0.1153981296874956,0.001,86.99490308761597
6,0.12337382924225596,0.01384057461594542,0.08129997969400592,0.001,87.13931775093079
7,0.09961591723064582,0.012371143403773507,0.1969566821325116,0.001,87.27729630470276
8,0.08105195148123635,0.011642763080696264,0.21269762370644546,0.001,87.55491662025452
9,0.06737190774745411,0.012145634197319547,0.1904411890157839,0.001,87.25057673454285
10,0.05659792934440904,0.011314702065040668,0.23596683435323762,0.001,87.43931221961975
11,0.04835000385840734,0.010284873152462145,0.2960694723012971,0.001,87.84010076522827
12,0.04214838416212135,0.011167730670422316,0.21453252580107712,0.001,87.47917437553406
13,0.03723876209308704,0.01058057004896303,0.318172466464159,0.001,87.61638927459717
14,0.03341093333438039,0.010396770822505156,0.31307520008668666,0.001,87.51411604881287
15,0.030420516358895436,0.010459228496377667,0.32543694391483213,0.001,87.45381689071655
16,0.027781500118888088,0.010582184845892092,0.3172143668663211,0.001,87.51758527755737
17,0.025652309517479606,0.012438447408688566,0.262132688266475,0.0009000000000000001,87.68730688095093
18,0.023942402098327875,0.012219620014851293,0.27487299064310583,0.0009000000000000001,87.83616709709167
19,0.022594087446729343,0.011371458608967563,0.27359524223862625,0.0009000000000000001,87.41364932060242
20,0.021444535814225674,0.011289037298411131,0.3243253827095032,0.0009000000000000001,87.63033294677734
21,0.020844072724382084,0.019332558227082092,0.23506345763439085,0.0009000000000000001,87.31276035308838
22,0.01974615056274666,0.011545861683165034,0.2934636866174093,0.0009000000000000001,87.67385172843933
23,0.01879292441945937,0.010957679556061825,0.31141199716707557,0.0008100000000000001,87.65240383148193
24,0.018104529111749597,0.011748341183799008,0.31870315496514484,0.0008100000000000001,87.39842009544373
25,0.01742823807419174,0.011580579176855585,0.325199149003843,0.0008100000000000001,87.8664174079895
26,0.017066394470425114,0.01097327199143668,0.33200752444383574,0.0008100000000000001,87.60590291023254
27,0.01665957409164144,0.011670682113617659,0.3225390918371154,0.0008100000000000001,87.76843404769897
28,0.016157235458700195,0.012410133068139354,0.29637864450129064,0.0008100000000000001,87.47595810890198
29,0.015942873096921377,0.0116784693285202,0.33710015837739155,0.000729,87.64505124092102
30,0.015533868559739657,0.011856464125836888,0.3009679957133968,0.000729,87.74406576156616
31,0.0151192266235335,0.01261775855285426,0.2827105987362745,0.000729,87.69092845916748
32,0.01490934433725973,0.012302577728405595,0.3101663880231904,0.000729,87.99975895881653
33,0.014678107678062387,0.012205663602799177,0.32151609077686216,0.000729,87.69380187988281
34,0.01444732747040689,0.01245009433478117,0.30658796575011277,0.000729,87.79100608825684
35,0.014152365840143628,0.012617758320023617,0.32049362397775416,0.0006561000000000001,87.4556794166565
36,0.01403795001614425,0.012343420647084713,0.3132926923472707,0.0006561000000000001,87.55224752426147
37,0.013866356470518641,0.011724264399769405,0.3234066861431773,0.0006561000000000001,87.64436101913452
38,0.013648194312635396,0.012045031452241043,0.32502658919590277,0.0006561000000000001,87.44845247268677
39,0.013456372518299354,0.013052710293171307,0.31403395606250295,0.0006561000000000001,87.67005681991577
40,0.013395933149796393,0.013209926391330859,0.2989633468593039,0.0006561000000000001,87.55693817138672
41,0.013275524808300866,0.012522796401754022,0.33301073603513764,0.00059049,87.54125475883484
42,0.01300184001835684,0.012723311704273025,0.326091551199192,0.00059049,87.28858304023743
43,0.012927550822496414,0.013498786410006383,0.3151734427707951,0.00059049,87.45131611824036
44,0.012819912310482727,0.013162077559779087,0.32436768165448815,0.00059049,87.64050316810608
45,0.012663142419316702,0.01336757066504409,0.3205665219120863,0.00059049,87.4648289680481
46,0.01259809771242241,0.013062253633203605,0.32889582325772543,0.00059049,87.56763505935669
47,0.01245174143049452,0.012699331234519681,0.3311394213176355,0.000531441,87.27780199050903
48,0.012252307600445218,0.012897418385061124,0.3364079427428362,0.000531441,87.88333201408386
49,0.01225237276715537,0.01336396912423273,0.32847109073545877,0.000531441,87.51280164718628
50,0.01212492960298227,0.012805279344320297,0.33002148677663107,0.000531441,87.4484076499939
