Epoch,Train_Loss,Val_Loss,Val_IoU,LR,Time
1,0.49887895423798523,0.2602678591554815,0.3190550818675902,0.001,631.9246609210968
2,0.3925351041183291,0.2260512953454798,0.36977989499161884,0.001,630.9147486686707
3,0.35668611530642313,0.23528931831771677,0.3514700684605575,0.001,646.6494517326355
4,0.3317737710706831,0.2521990767934106,0.35003903871629294,0.001,645.6291580200195
5,0.3148463003362302,0.24755924262783743,0.3444628166716273,0.001,646.1712176799774
6,0.3000449420740971,0.2329676936973225,0.37440530265249855,0.001,648.1911141872406
7,0.2886961949459685,0.2446610609238798,0.37245875160868575,0.001,646.279128074646
8,0.27964435183467007,0.2709268751469525,0.3437732618029525,0.0009000000000000001,643.3505465984344
9,0.2693418124181903,0.26593542573126877,0.3510166421169188,0.0009000000000000001,646.6375949382782
10,0.2621201769248432,0.2521550723097541,0.37510471809201124,0.0009000000000000001,644.0467536449432
11,0.2571689556648699,0.24593974108045752,0.3895609240706374,0.0009000000000000001,643.7863209247589
12,0.2519865675954981,0.26486348563974554,0.3586950898170471,0.0009000000000000001,644.6013300418854
13,0.24767240202895374,0.2587310231544755,0.37098109431383086,0.0009000000000000001,644.0417191982269
14,0.24471143458283598,0.2595941017974507,0.3738542766105838,0.0008100000000000001,643.3221349716187
15,0.23788446395210464,0.2650074775923382,0.3670467916058331,0.0008100000000000001,644.0058603286743
16,0.23486949831513126,0.2612494352188977,0.38306974419733375,0.0008100000000000001,643.9985105991364
17,0.2321967185249629,0.27831589498303155,0.34874026295615407,0.0008100000000000001,644.0180878639221
18,0.22950651276536876,0.28784322941845114,0.3510896650756278,0.0008100000000000001,643.827826499939
19,0.2277491489568582,0.28536319732666016,0.33999587050298363,0.0008100000000000001,643.9591505527496
20,0.2253850982436202,0.3087619488889521,0.33379370919088036,0.000729,643.2285718917847
21,0.2210912064918075,0.28405376456000586,0.3520648501268247,0.000729,642.9802713394165
22,0.21945568397973425,0.292034542018717,0.3326852692336571,0.000729,644.0584664344788
23,0.21725508749460098,0.30893433364954864,0.34389549057658125,0.000729,643.9483785629272
24,0.215625425489202,0.3047768392346122,0.3339192329383478,0.000729,644.3021447658539
25,0.21499233907389734,0.29637001725760376,0.3565243279061666,0.000729,644.7124698162079
26,0.21257917276493282,0.31740586866031995,0.34576693831420524,0.0006561000000000001,643.6397242546082
27,0.21042850737562746,0.3153445673259822,0.34797402344098904,0.0006561000000000001,643.2113437652588
28,0.20898611106003406,0.3453848971561952,0.3378182249825175,0.0006561000000000001,643.3986442089081
29,0.20797773178172616,0.3275449682365764,0.33885349660384945,0.0006561000000000001,643.8774406909943
30,0.20670956303235746,0.3664634200659665,0.337109823779362,0.0006561000000000001,644.2655358314514
31,0.20612583904960083,0.3400270715355873,0.3401230900752835,0.0006561000000000001,643.6939957141876
32,0.20493081317323705,0.3579068441282619,0.3228374915878947,0.00059049,644.2250549793243
33,0.20318904639519708,0.35432760552926496,0.33134254158996956,0.00059049,643.7751622200012
34,0.20236472123268257,0.3396666944026947,0.35609399036663336,0.00059049,643.6433017253876
35,0.20135910231557777,0.3639622967351567,0.33784378301806567,0.00059049,643.8075122833252
36,0.20097166562708324,0.3695063441991806,0.3381825205756397,0.00059049,644.1063916683197
37,0.20037115994246973,0.3864536068656228,0.3282821156629702,0.00059049,648.2370324134827
38,0.19995193321303514,0.3812093355438926,0.3463156968355179,0.000531441,648.6565551757812
39,0.198141146503148,0.3703738098794764,0.3414991806919982,0.000531441,645.8378286361694
40,0.19761680511377727,0.37796041098507965,0.34829927217669604,0.000531441,645.760849237442
41,0.19735117018878992,0.3945142924785614,0.319654371680283,0.000531441,646.0195093154907
42,0.19636388082335493,0.37156227231025696,0.33087184734460784,0.000531441,645.8793199062347
43,0.19587623686171496,0.38489222662015393,0.34890769385709997,0.000531441,648.2251086235046
44,0.19535331750120408,0.37427863343195483,0.34397218867046075,0.0004782969,654.1545898914337
45,0.19454074688172726,0.39463953402909363,0.3263931608781582,0.0004782969,643.7258944511414
46,0.19338750850238995,0.4108223738995465,0.33886607827209847,0.0004782969,645.8133997917175
47,0.19343945289128267,0.3822325054894794,0.34938151080433916,0.0004782969,650.2425029277802
48,0.19281863294741183,0.38680870831012726,0.34370720386505127,0.0004782969,653.7925119400024
49,0.19256427113087216,0.3992244303226471,0.3417964468641979,0.0004782969,653.8619344234467
50,0.19235276472583462,0.39282580668276007,0.34203777298694704,0.00043046721,651.1831221580505
